time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.599996,-0.000040,-0.000050,0.114495,0.118051,0.004587,0.004449
0.604996,-0.000691,-0.000832,0.082741,0.079954,0.004640,0.004511
0.609996,-0.001309,-0.001327,0.051348,0.054841,0.004713,0.004569
0.614996,-0.001880,-0.002010,0.020396,0.017705,0.004801,0.004673
0.619996,-0.002383,-0.002414,-0.010038,-0.006643,0.004903,0.004754
0.624996,-0.002793,-0.002906,-0.039852,-0.042419,0.005015,0.004888
0.629995,-0.003095,-0.003146,-0.068899,-0.065659,0.005130,0.004980
0.634995,-0.003315,-0.003410,-0.097052,-0.099444,0.005249,0.005124
0.639995,-0.003462,-0.003526,-0.124188,-0.121161,0.005373,0.005224
0.644995,-0.003563,-0.003647,-0.150139,-0.152306,0.005501,0.005379
0.649995,-0.003611,-0.003684,-0.174805,-0.172047,0.005630,0.005484
0.654995,-0.003588,-0.003655,-0.198107,-0.200019,0.005753,0.005634
0.659995,-0.003467,-0.003556,-0.220006,-0.217545,0.005864,0.005724
0.664995,-0.003321,-0.003381,-0.240456,-0.242098,0.005957,0.005839
0.669995,-0.003208,-0.003292,-0.259433,-0.257286,0.006035,0.005902
0.674995,-0.003150,-0.003223,-0.276897,-0.278254,0.006103,0.005985
0.679995,-0.003162,-0.003234,-0.292781,-0.290970,0.006165,0.006036
0.684995,-0.003233,-0.003318,-0.307097,-0.308162,0.006223,0.006107
0.689995,-0.003341,-0.003404,-0.319808,-0.318339,0.006278,0.006152
0.694995,-0.003504,-0.003600,-0.330988,-0.331771,0.006328,0.006212
0.699995,-0.003748,-0.003796,-0.340781,-0.339615,0.006365,0.006241
0.704994,-0.004017,-0.004119,-0.349272,-0.349818,0.006387,0.006268
0.709994,-0.004216,-0.004279,-0.356474,-0.355589,0.006396,0.006276
0.714994,-0.004309,-0.004392,-0.362444,-0.362770,0.006392,0.006272
0.719994,-0.004349,-0.004425,-0.367254,-0.366625,0.006374,0.006257
0.724994,-0.004317,-0.004386,-0.370996,-0.371130,0.006343,0.006221
0.729994,-0.004134,-0.004240,-0.373686,-0.373290,0.006303,0.006189
0.734994,-0.003808,-0.003849,-0.375375,-0.375332,0.006258,0.006135
0.739994,-0.003446,-0.003558,-0.376030,-0.375866,0.006210,0.006097
0.744994,-0.003156,-0.003209,-0.375626,-0.375395,0.006160,0.006037
0.749994,-0.002961,-0.003054,-0.374157,-0.374231,0.006108,0.005995
0.754994,-0.002854,-0.002924,-0.371641,-0.371227,0.006055,0.005931
0.759994,-0.002803,-0.002883,-0.368070,-0.368378,0.005998,0.005885
0.764994,-0.002830,-0.002915,-0.363517,-0.362928,0.005938,0.005813
0.769994,-0.002893,-0.002964,-0.358034,-0.358550,0.005875,0.005762
0.774994,-0.002951,-0.003032,-0.351721,-0.350989,0.005807,0.005680
0.779994,-0.002941,-0.003024,-0.344631,-0.345327,0.005733,0.005620
0.784993,-0.002865,-0.002931,-0.336849,-0.336003,0.005654,0.005524
0.789993,-0.002703,-0.002799,-0.328391,-0.329244,0.005570,0.005456
0.794993,-0.002477,-0.002527,-0.319308,-0.318360,0.005486,0.005353
0.799993,-0.002161,-0.002273,-0.309627,-0.310622,0.005401,0.005284
0.804993,-0.001777,-0.001813,-0.299411,-0.298379,0.005318,0.005183
0.809993,-0.001366,-0.001481,-0.288741,-0.289851,0.005238,0.005117
0.814993,-0.001015,-0.001057,-0.277670,-0.276583,0.005160,0.005022
0.819993,-0.000709,-0.000812,-0.266286,-0.267487,0.005088,0.004963
0.824993,-0.000419,-0.000462,-0.254593,-0.253468,0.005024,0.004884
0.829993,-0.000140,-0.000238,-0.242663,-0.243932,0.004962,0.004833
0.834993,0.000084,0.000031,-0.230557,-0.229419,0.004897,0.004753
0.839993,0.000266,0.000175,-0.218302,-0.219624,0.004830,0.004698
0.844993,0.000469,0.000420,-0.205881,-0.204731,0.004763,0.004616
0.849993,0.000675,0.000587,-0.193277,-0.194654,0.004695,0.004560
0.854993,0.000835,0.000777,-0.180486,-0.179319,0.004627,0.004478
0.859993,0.000895,0.000823,-0.167605,-0.169019,0.004558,0.004422
0.864992,0.000879,0.000805,-0.154742,-0.153592,0.004487,0.004335
0.869992,0.000815,0.000753,-0.141934,-0.143352,0.004414,0.004275
0.874992,0.000730,0.000651,-0.129218,-0.128101,0.004339,0.004185
0.879992,0.000622,0.000564,-0.116627,-0.118035,0.004260,0.004121
0.884992,0.000507,0.000427,-0.104138,-0.103056,0.004175,0.004018
0.889992,0.000385,0.000329,-0.091795,-0.093182,0.004085,0.003946
0.894992,0.000249,0.000167,-0.079662,-0.078628,0.003989,0.003830
0.899992,0.000098,0.000045,-0.067768,-0.069116,0.003884,0.003746
0.904992,-0.000073,-0.000165,-0.056172,-0.055204,0.003774,0.003613
0.909992,-0.000656,-0.000611,-0.044892,-0.046181,0.003660,0.003522
0.914992,-0.002741,-0.003132,-0.033954,-0.033056,0.003531,0.003371
0.919992,-0.007603,-0.006998,-0.023314,-0.024542,0.003362,0.003244
0.924992,-0.016639,-0.017862,-0.013060,-0.012237,0.003113,0.002965
0.929992,-0.031025,-0.029365,-0.003149,-0.004309,0.002739,0.002689
0.934992,-0.051222,-0.053604,0.006498,0.007268,0.002194,0.002080
0.939991,-0.077174,-0.074379,0.015815,0.014726,0.001434,0.001510
0.944991,-0.108181,-0.111570,0.024686,0.025376,0.000438,0.000380
0.949991,-0.142909,-0.139383,0.032965,0.032010,-0.000781,-0.000551
0.954991,-0.179825,-0.183662,0.040505,0.041071,-0.002181,-0.002164
0.959991,-0.217326,-0.213694,0.047174,0.046417,-0.003687,-0.003330
0.964991,-0.253920,-0.257602,0.052851,0.053244,-0.005195,-0.005088
0.969991,-0.288487,-0.285280,0.057503,0.056977,-0.006607,-0.006194
0.974991,-0.320195,-0.323340,0.061150,0.061367,-0.007844,-0.007650
0.979991,-0.348574,-0.346060,0.063855,0.063536,-0.008852,-0.008445
0.984991,-0.373446,-0.375929,0.065692,0.065751,-0.009596,-0.009327
0.989991,-0.394959,-0.393148,0.066777,0.066621,-0.010065,-0.009698
0.994991,-0.413463,-0.415383,0.067234,0.067176,-0.010273,-0.009947
0.999991,-0.429455,-0.428184,0.067226,0.067170,-0.010268,-0.009941
1.004991,-0.443471,-0.445034,0.066920,0.066809,-0.010105,-0.009748
