time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
1.470013,0.001616,0.000395,-0.008845
1.475013,0.001611,0.000407,-0.008982
1.480013,0.001605,0.000411,-0.009061
1.485013,0.001594,0.000403,-0.009141
1.490014,0.001589,0.000404,-0.009167
1.495014,0.001584,0.000419,-0.009120
1.500014,0.001580,0.000435,-0.009049
1.505014,0.001574,0.000455,-0.008904
1.510015,0.001570,0.000452,-0.008777
1.515015,0.001564,0.000417,-0.008548
1.520015,0.001561,0.000388,-0.008372
1.525015,0.001558,0.000328,-0.008051
1.530015,0.001559,0.000270,-0.007834
1.535016,0.001561,0.000194,-0.007492
1.540016,0.001560,0.000167,-0.007239
1.545016,0.001559,0.000133,-0.006819
1.550016,0.001560,0.000113,-0.006507
1.555017,0.001564,0.000079,-0.005998
1.560017,0.001564,0.000066,-0.005649
1.565017,0.001568,0.000025,-0.005121
1.570017,0.001567,0.000008,-0.004751
1.575018,0.001565,-0.000012,-0.004196
1.580018,0.001566,-0.000029,-0.003838
1.585018,0.001568,-0.000054,-0.003344
1.590018,0.001573,-0.000079,-0.003038
1.595019,0.001583,-0.000116,-0.002612
1.600019,0.001585,-0.000125,-0.002329
1.605019,0.001589,-0.000140,-0.001896
1.610019,0.001584,-0.000128,-0.001619
1.615019,0.001582,-0.000120,-0.001208
1.620020,0.001584,-0.000125,-0.000956
1.625020,0.001584,-0.000123,-0.000558
1.630020,0.001580,-0.000109,-0.000299
1.635020,0.001564,-0.000069,0.000041
1.640021,0.001553,-0.000040,0.000251
1.645021,0.001549,-0.000033,0.000575
1.650021,0.001554,-0.000050,0.000780
1.655021,0.001558,-0.000061,0.001073
1.660022,0.001563,-0.000072,0.001282
1.665022,0.001578,-0.000109,0.001586
1.670022,0.001586,-0.000127,0.001793
1.675022,0.001600,-0.000164,0.002087
1.680022,0.001611,-0.000195,0.002262
1.685023,0.001632,-0.000259,0.002469
1.690023,0.001647,-0.000310,0.002589
1.695023,0.001660,-0.000357,0.002767
1.700023,0.001663,-0.000369,0.002872
1.705024,0.001662,-0.000373,0.003018
1.710024,0.001656,-0.000356,0.003105
1.715024,0.001645,-0.000326,0.003215
1.720024,0.001641,-0.000315,0.003281
1.725025,0.001630,-0.000275,0.003367
1.730025,0.001620,-0.000237,0.003409
1.735025,0.001600,-0.000159,0.003475
1.740025,0.001591,-0.000120,0.003509
1.745026,0.001583,-0.000087,0.003567
1.750026,0.001578,-0.000066,0.003601
1.755026,0.001582,-0.000087,0.003652
1.760026,0.001587,-0.000118,0.003673
1.765026,0.001593,-0.000163,0.003682
1.770027,0.001595,-0.000198,0.003669
1.775027,0.001595,-0.000221,0.003622
1.780027,0.001594,-0.000218,0.003572
1.785027,0.001590,-0.000194,0.003496
1.790028,0.001589,-0.000176,0.003437
1.795028,0.001587,-0.000164,0.003349
1.800028,0.001584,-0.000144,0.003268
1.805028,0.001581,-0.000122,0.003122
1.810029,0.001578,-0.000025,0.002929
1.815029,0.001571,0.000435,0.002332
1.820029,0.001570,0.000986,0.001733
1.825029,0.001583,0.002106,0.000559
1.830029,0.001597,0.003040,-0.000414
1.835030,0.001616,0.004649,-0.002087
1.840030,0.001617,0.005787,-0.003319
1.845030,0.001582,0.007345,-0.005355
1.850030,0.001527,0.008272,-0.006729
1.855031,0.001391,0.009426,-0.008648
1.860031,0.001273,0.009995,-0.009733
1.865031,0.001094,0.010437,-0.010872
1.870031,0.000997,0.010458,-0.011275
1.875032,0.000913,0.010165,-0.011379
1.880032,0.000903,0.009830,-0.011174
1.885032,0.000954,0.009208,-0.010589
1.890032,0.001033,0.008740,-0.010070
1.895033,0.001200,0.008028,-0.009146
1.900033,0.001342,0.007551,-0.008465
1.905033,0.001600,0.006831,-0.007393
1.910033,0.001784,0.006382,-0.006714
1.915033,0.002033,0.005827,-0.005815
1.920034,0.002167,0.005546,-0.005349
1.925034,0.002336,0.005214,-0.004852
1.930034,0.002418,0.005058,-0.004632
1.935034,0.002493,0.004911,-0.004417
